//Maglesø Put & Take, "Tovesvej 30", "4220", "Korsør"
//Sorø Put & Take, Stenbjærgvej 12, 4180, Sorø
//Løgtvedgård Put & Take, Kalundborgvej 78, 4470, Svebølle
//Kaldredgården's Put & Take, Arnakkevej 31, 4593, Eskebjerg
//Holmehave Fiskesø, Tangagervej 4, 4293, Dianalund
//Myrup Fiskepark, Skovmøllevej 26, 4700, Næstved
//Vesterled Put & Take, Lundbyvej 20, 4720, Præstø
//Vanløse Fiskesø, Vanløsevej 20, 4370, Store Merløse
//Ørsted Fisk Og Golf, Åbakkevej 13, 4130, Viby Sjælland
//Trane Sø Ørredfiskeri, Lyngvej 27, 4573, Højby
//Brynshøj Sø, Højbygårdsvej 2-10, 4573, Højby
Roskilde Fiskeland, Frederiksborgvej 65E, 4000, Roskilde
Gammel Hedeland Sø, Brandhøjgårdsvej 108, 2640, Hedehusene
Hove Put & Take, Kalkgravsvej 105, 4000, Roskilde
Poppelsøen, Baltorpvej 208, 2750, Ballerup
Simons Put & Take, Holmevej 41, 3670, Veksø
Drive In Put And Take, Nymøllevej 16, 3540, Lynge
St. Rosenbusk Ørredfiskeri, Uggeløse Bygade 146, 3540, Lynge
Søllerød Fiskepark, Attemosevej 97, 2840, Holte
Solbjerggård Ørredfiskeri, Rugårdsvej 2, 3320, Skævinge
Hagelsgård Ørredfiskeri, Store Havelsevej 2, 3310, Ølsted
Fredendsbord Ørredfiskeri, Davidsvænge 7, 3480, Fredensborg
Ladegårdssøen, Auderødvej 52, 3300, Frederiksværk
Nyborre Fiskesø, Bøgebjergvej 12, 4791, Borre
Lyns Put & Take, Marielyst Strandvej 14, 4873, Væggerløse
Iglekær Put & Take, Torebyvej 7, 4891, Toreby
Korsgaards Put & Take, Tåstrupvej 5, 4880, Nysted
Lyngmose Put & Take, Kappelanvej 48, 4943, Torrig Lolland
Hoby Put & Take, Hobyvej 43, 4983, Dannemare
